",""Edad"",""Sexo"",""n"""
"1,""0"",""Femenino"",""782"""
"2,""0"",""Masculino"",""892"""
"3,""0"",""Sin Datos"",""9"""
"4,""1"",""Femenino"",""396"""
"5,""1"",""Masculino"",""454"""
"6,""1"",""Sin Datos"",""5"""
"7,""10"",""Femenino"",""519"""
"8,""10"",""Masculino"",""486"""
"9,""10"",""Sin Datos"",""3"""
"10,""100"",""Femenino"",""4"""
"11,""100"",""Masculino"",""3"""
"12,""101"",""Masculino"",""1"""
"13,""102"",""Femenino"",""2"""
"14,""103"",""Femenino"",""1"""
"15,""103"",""Masculino"",""3"""
"16,""104"",""Femenino"",""1"""
"17,""105"",""Femenino"",""1"""
"18,""107"",""Masculino"",""1"""
"19,""109"",""Femenino"",""1"""
"20,""11"",""Femenino"",""562"""
"21,""11"",""Masculino"",""556"""
"22,""11"",""Sin Datos"",""5"""
"23,""12"",""Femenino"",""639"""
"24,""12"",""Masculino"",""620"""
"25,""12"",""Sin Datos"",""4"""
"26,""13"",""Femenino"",""750"""
"27,""13"",""Masculino"",""658"""
"28,""13"",""Sin Datos"",""3"""
"29,""14"",""Femenino"",""835"""
"30,""14"",""Masculino"",""803"""
"31,""14"",""Sin Datos"",""3"""
"32,""15"",""Femenino"",""1007"""
"33,""15"",""Masculino"",""930"""
"34,""15"",""Sin Datos"",""10"""
"35,""16"",""Femenino"",""1167"""
"36,""16"",""Masculino"",""1179"""
"37,""16"",""Sin Datos"",""11"""
"38,""17"",""Femenino"",""1392"""
"39,""17"",""Masculino"",""1328"""
"40,""17"",""Sin Datos"",""10"""
"41,""18"",""Femenino"",""1608"""
"42,""18"",""Masculino"",""1446"""
"43,""18"",""Sin Datos"",""10"""
"44,""19"",""Femenino"",""1980"""
"45,""19"",""Masculino"",""1993"""
"46,""19"",""Sin Datos"",""18"""
"47,""2"",""Femenino"",""324"""
"48,""2"",""Masculino"",""345"""
"49,""2"",""Sin Datos"",""7"""
"50,""20"",""Femenino"",""2543"""
"51,""20"",""Masculino"",""2748"""
"52,""20"",""Sin Datos"",""33"""
